0,6
1,26
2,25
3,24
4,24
5,16
6,16
7,-1
8,33
9,34
10,-1
11,35
12,-1
13,-1
14,-1
15,23
16,22
17,22
18,21
19,12
20,13
21,-1
22,17
23,-1
24,-1
25,32
26,5
27,5
28,4
29,3
30,23
31,23
32,22
33,21
34,-1
35,-1
36,13
37,14
38,30
39,30
40,32
41,-1
42,-1
43,4
44,3
45,20
46,-1
47,19
48,18
49,-1
50,-1
51,13
52,14
53,30
54,31
55,32
56,-1
57,-1
58,1
59,0
60,-1
61,20
62,19
63,18
64,9
65,-1
66,10
67,11
68,27
69,28
70,-1
71,29
72,-1
73,-1
74,-1
75,-1
76,44
77,43
78,42
79,42
80,9
81,12
82,15
83,51
84,-1
85,52
86,53
87,6
88,-1
89,3
90,-1
91,40
92,-1
93,38
94,36
95,10
96,13
97,13
98,16
99,48
100,49
101,50
102,50
103,7
104,4
105,1
106,40
107,40
108,-1
109,37
110,37
111,11
112,14
113,17
114,-1
115,45
116,46
117,47
118,8
119,-1
120,5
121,2
122,41
123,-1
124,39
125,-1
126,11
127,-1
128,36
129,43
130,-1
131,-1
132,-1
133,-1
134,-1
135,-1
136,-1
137,-1
138,-1
139,-1
140,-1
141,-1
142,-1
143,-1
144,-1
145,-1
146,-1
147,-1
148,-1
149,-1
150,-1
151,-1
152,-1
153,-1
154,-1
155,-1
156,-1
157,-1
158,-1
159,-1
